cell_id,entrez_id,expression
0,11287,10.0
0,11298,0.152
0,11302,0.23600000000000002
0,11303,0.7559999999999999
0,11304,0.001
0,11305,0.6920000000000001
0,11306,0.457
0,11307,0.963
0,11308,0.127
0,11350,0.6940000000000001
0,11352,1.525
0,11354,1.5219999999999998
0,11358,1.682
0,11363,1.584
0,11364,2.225
0,11370,2.454
0,11409,2.051
0,11416,1.7209999999999999
0,11418,2.495
0,11419,2.248
0,11421,2.019
0,11423,2.187
0,11425,1.685
0,11426,2.497
0,11428,1.879
0,11429,2.206
0,11430,2.209
0,11431,2.199
0,11432,1.796
0,11433,2.26
0,11434,1.9409999999999998
0,11435,1.865
0,11438,2.36
0,11440,1.921
0,11441,1.5590000000000002
0,11443,2.3209999999999997
0,11444,1.601
0,11447,1.88
0,11448,2.38
0,11449,2.095
0,11450,2.261
0,11451,1.7009999999999998
0,11452,2.04
0,11459,1.766
0,11461,1.9369999999999998
0,11464,1.643
0,11465,1.935
0,11468,2.0580000000000003
0,11470,1.6230000000000002
0,11471,2.3409999999999997
0,11472,1.891
0,11474,2.089
0,11475,1.919
0,11477,1.8769999999999998
0,11479,1.715
0,11480,1.925
0,11481,2.467
0,11482,1.739
0,11484,1.8780000000000001
0,11486,1.795
0,11487,2.4819999999999998
0,11488,2.258
0,11489,2.167
0,11490,1.867
0,11491,1.754
0,11492,2.16
0,11495,1.662
0,11496,2.261
0,11497,1.525
0,11498,2.403
0,11499,2.353
0,11500,1.672
0,11501,1.8419999999999999
0,11502,1.9
0,11504,2.487
0,11512,1.818
0,11513,1.6480000000000001
0,11514,2.419
0,11515,2.059
0,11516,1.735
0,11517,1.771
0,11518,1.651
0,11519,2.076
0,11520,1.955
0,11522,1.869
0,11529,2.351
0,11532,2.4459999999999997
0,11533,1.983
0,11534,1.706
0,11535,2.135
0,11536,2.355
0,11537,2.362
0,11538,1.5019999999999998
0,11539,2.084
0,11540,2.113
0,11541,1.5030000000000001
0,11542,2.0340000000000003
0,11544,1.673
0,11545,1.5119999999999998
0,11546,2.278
0,11548,2.481
0,11549,1.6740000000000002
0,11550,1.534
0,11551,1.22
0,11552,1.9869999999999999
0,11553,1.219
0,11554,1.248
0,11555,1.02
0,11556,1.39
0,11564,1.896
0,11565,1.2770000000000001
0,11566,1.048
0,11567,1.68
0,11568,1.1420000000000001
0,11569,1.024
0,11571,1.8319999999999999
0,11572,1.182
0,11576,1.212
0,11592,1.9980000000000002
0,11593,1.402
0,11595,1.714
0,11596,1.679
0,11600,1.554
0,11601,1.39
0,11602,1.0490000000000002
0,11603,1.9909999999999999
0,11604,1.169
0,11605,1.757
0,11606,1.787
